trade_id,status,opened_at_utc,closed_at_utc,platform,asset,category,yf,strategy,display_direction,direction_side,priority,stake,payout_pct,expiration_minutes,expiration_bars,signal_candle_utc,signal_candle_close_utc,exit_candle_utc,expiration_time_utc,external_entry_price,external_exit_price,result,profit,platform_entry_price,platform_exit_price,platform_result,price_gap_entry,comment
Pocket Option|USD/JPY CALL|2026-05-05T23:00:00+00:00|CALL|strict,OPEN,2026-05-05T23:16:35.838272+00:00,,Pocket Option,USD/JPY,Forex,JPY=X,USD/JPY CALL,CALL,UP,A,10.0,86.0,15,1,2026-05-05T23:00:00+00:00,2026-05-05T23:15:00+00:00,2026-05-05T23:15:00+00:00,2026-05-05T23:30:00+00:00,157.55499267578125,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Deriv|USD/JPY RISE|2026-05-05T23:00:00+00:00|RISE|strict,OPEN,2026-05-05T23:16:37.336367+00:00,,Deriv,USD/JPY,Forex,JPY=X,USD/JPY RISE,RISE,UP,A,10.0,81.9,15,1,2026-05-05T23:00:00+00:00,2026-05-05T23:15:00+00:00,2026-05-05T23:15:00+00:00,2026-05-05T23:30:00+00:00,157.55499267578125,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Pocket Option|USD/JPY CALL|2026-05-06T04:15:00+00:00|CALL|strict,OPEN,2026-05-06T04:31:36.121607+00:00,,Pocket Option,USD/JPY,Forex,JPY=X,USD/JPY CALL,CALL,UP,A,10.0,86.0,15,1,2026-05-06T04:15:00+00:00,2026-05-06T04:30:00+00:00,2026-05-06T04:30:00+00:00,2026-05-06T04:45:00+00:00,156.8679962158203,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Deriv|USD/JPY RISE|2026-05-06T04:15:00+00:00|RISE|strict,OPEN,2026-05-06T04:31:37.916784+00:00,,Deriv,USD/JPY,Forex,JPY=X,USD/JPY RISE,RISE,UP,A,10.0,81.9,15,1,2026-05-06T04:15:00+00:00,2026-05-06T04:30:00+00:00,2026-05-06T04:30:00+00:00,2026-05-06T04:45:00+00:00,156.8679962158203,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Pocket Option|USD/JPY CALL|2026-05-06T04:30:00+00:00|CALL|strict,OPEN,2026-05-06T04:46:50.397585+00:00,,Pocket Option,USD/JPY,Forex,JPY=X,USD/JPY CALL,CALL,UP,A,10.0,86.0,15,1,2026-05-06T04:30:00+00:00,2026-05-06T04:45:00+00:00,2026-05-06T04:45:00+00:00,2026-05-06T05:00:00+00:00,155.88499450683594,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Deriv|USD/JPY RISE|2026-05-06T04:30:00+00:00|RISE|strict,OPEN,2026-05-06T04:46:51.899478+00:00,,Deriv,USD/JPY,Forex,JPY=X,USD/JPY RISE,RISE,UP,A,10.0,81.9,15,1,2026-05-06T04:30:00+00:00,2026-05-06T04:45:00+00:00,2026-05-06T04:45:00+00:00,2026-05-06T05:00:00+00:00,155.88499450683594,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Pocket Option|EUR/GBP PUT|2026-05-06T09:30:00+00:00|PUT|near_4,OPEN,2026-05-06T09:46:39.358887+00:00,,Pocket Option,EUR/GBP,Forex,EURGBP=X,EUR/GBP PUT,PUT,DOWN,B,10.0,86.0,15,1,2026-05-06T09:30:00+00:00,2026-05-06T09:45:00+00:00,2026-05-06T09:45:00+00:00,2026-05-06T10:00:00+00:00,0.8640199899673462,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Pocket Option|EUR/GBP PUT|2026-05-06T09:45:00+00:00|PUT|near_4,OPEN,2026-05-06T10:02:02.956865+00:00,,Pocket Option,EUR/GBP,Forex,EURGBP=X,EUR/GBP PUT,PUT,DOWN,B,10.0,86.0,15,1,2026-05-06T09:45:00+00:00,2026-05-06T10:00:00+00:00,2026-05-06T10:00:00+00:00,2026-05-06T10:15:00+00:00,0.8641499876976013,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Pocket Option|EUR/GBP PUT|2026-05-06T10:00:00+00:00|PUT|near_4,OPEN,2026-05-06T10:16:35.779321+00:00,,Pocket Option,EUR/GBP,Forex,EURGBP=X,EUR/GBP PUT,PUT,DOWN,B,10.0,86.0,15,1,2026-05-06T10:00:00+00:00,2026-05-06T10:15:00+00:00,2026-05-06T10:15:00+00:00,2026-05-06T10:30:00+00:00,0.8642799854278564,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Pocket Option|EUR/GBP PUT|2026-05-06T16:00:00+00:00|PUT|near_4,OPEN,2026-05-06T16:16:08.293295+00:00,,Pocket Option,EUR/GBP,Forex,EURGBP=X,EUR/GBP PUT,PUT,DOWN,B,10.0,86.0,15,1,2026-05-06T16:00:00+00:00,2026-05-06T16:15:00+00:00,2026-05-06T16:15:00+00:00,2026-05-06T16:30:00+00:00,0.8646000027656555,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Deriv|EUR/GBP FALL|2026-05-06T16:00:00+00:00|FALL|near_4,OPEN,2026-05-06T16:16:10.002016+00:00,,Deriv,EUR/GBP,Forex,EURGBP=X,EUR/GBP FALL,FALL,DOWN,B,10.0,81.9,15,1,2026-05-06T16:00:00+00:00,2026-05-06T16:15:00+00:00,2026-05-06T16:15:00+00:00,2026-05-06T16:30:00+00:00,0.8646000027656555,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Pocket Option|EUR/GBP PUT|2026-05-06T16:15:00+00:00|PUT|near_4,OPEN,2026-05-06T16:32:00.702087+00:00,,Pocket Option,EUR/GBP,Forex,EURGBP=X,EUR/GBP PUT,PUT,DOWN,B,10.0,86.0,15,1,2026-05-06T16:15:00+00:00,2026-05-06T16:30:00+00:00,2026-05-06T16:30:00+00:00,2026-05-06T16:45:00+00:00,0.8646199703216553,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
Deriv|EUR/GBP FALL|2026-05-06T16:15:00+00:00|FALL|near_4,OPEN,2026-05-06T16:32:03.226034+00:00,,Deriv,EUR/GBP,Forex,EURGBP=X,EUR/GBP FALL,FALL,DOWN,B,10.0,81.9,15,1,2026-05-06T16:15:00+00:00,2026-05-06T16:30:00+00:00,2026-05-06T16:30:00+00:00,2026-05-06T16:45:00+00:00,0.8646199703216553,,,,,,,,Auto paper trade from unified bot. Platform prices should be filled manually if checked.
